name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.is_salary_admin_job_title\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""is_salary_admin_job_title"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_is_salary_admin_job_title_52a729dd68707cd6cfbcfeb5c5ac84b3
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.hr_performance_reviews` has an RLS policy `hr_reviews_delete` for `DELETE` that allows unrestricted access (USING clause is always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""hr_performance_reviews"",""qual"":""true"",""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""DELETE"",""with_check"":null,""policy_name"":""hr_reviews_delete"",""permissive_using"":true,""permissive_with_check"":false}",rls_policy_always_true_public_hr_performance_reviews_hr_reviews_delete
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.hr_performance_reviews` has an RLS policy `hr_reviews_insert` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""hr_performance_reviews"",""qual"":null,""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""INSERT"",""with_check"":""true"",""policy_name"":""hr_reviews_insert"",""permissive_using"":false,""permissive_with_check"":true}",rls_policy_always_true_public_hr_performance_reviews_hr_reviews_insert
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.hr_performance_reviews` has an RLS policy `hr_reviews_update` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""hr_performance_reviews"",""qual"":""true"",""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""UPDATE"",""with_check"":null,""policy_name"":""hr_reviews_update"",""permissive_using"":true,""permissive_with_check"":true}",rls_policy_always_true_public_hr_performance_reviews_hr_reviews_update
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.leave_requests` has an RLS policy `leave_requests_delete` for `DELETE` that allows unrestricted access (USING clause is always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""leave_requests"",""qual"":""true"",""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""DELETE"",""with_check"":null,""policy_name"":""leave_requests_delete"",""permissive_using"":true,""permissive_with_check"":false}",rls_policy_always_true_public_leave_requests_leave_requests_delete
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.leave_requests` has an RLS policy `leave_requests_insert` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""leave_requests"",""qual"":null,""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""INSERT"",""with_check"":""true"",""policy_name"":""leave_requests_insert"",""permissive_using"":false,""permissive_with_check"":true}",rls_policy_always_true_public_leave_requests_leave_requests_insert
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.leave_requests` has an RLS policy `leave_requests_update` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""leave_requests"",""qual"":""true"",""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""UPDATE"",""with_check"":null,""policy_name"":""leave_requests_update"",""permissive_using"":true,""permissive_with_check"":true}",rls_policy_always_true_public_leave_requests_leave_requests_update
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.advance_in_my_company(_advance_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/advance_in_my_company`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""advance_in_my_company"",""schema"":""public"",""language"":""sql"",""arguments"":""_advance_id uuid"",""security_definer"":true}",anon_security_definer_function_executable_public_advance_in_my_company__advance_id uuid
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.calculate_employee_salary(p_employee_id uuid, p_month_year text, p_payment_method text, p_manual_deduction numeric, p_manual_deduction_note text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/calculate_employee_salary`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""calculate_employee_salary"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_employee_id uuid, p_month_year text, p_payment_method text, p_manual_deduction numeric, p_manual_deduction_note text"",""security_definer"":true}","anon_security_definer_function_executable_public_calculate_employee_salary_p_employee_id uuid, p_month_year text, p_payment_method text, p_manual_deduction numeric, p_manual_deduction_note text"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.calculate_order_salary_for_app(p_app_id uuid, p_orders integer, p_attendance_days integer, p_fixed_scheme_ids uuid[], p_allow_target_bonus boolean)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/calculate_order_salary_for_app`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""calculate_order_salary_for_app"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_app_id uuid, p_orders integer, p_attendance_days integer, p_fixed_scheme_ids uuid[], p_allow_target_bonus boolean"",""security_definer"":true}","anon_security_definer_function_executable_public_calculate_order_salary_for_app_p_app_id uuid, p_orders integer, p_attendance_days integer, p_fixed_scheme_ids uuid[], p_allow_target_bonus boolean"
